true_severity,pred_severity,agent_total_skill_count,reference_total_skill_count,latency_s,error
High,High,9.0,10,34.389859676361084,
Medium,Medium,4.0,4,87.24089479446411,
Medium,High,6.0,5,30.203535795211792,
High,High,9.0,6,34.55880904197693,
Medium,Medium,5.0,5,38.23981404304504,
High,High,7.0,6,31.639071941375732,
High,High,11.0,11,30.80776286125183,
High,High,11.0,11,40.348970890045166,
Low,Low,2.0,2,42.70054602622986,
High,High,6.0,5,35.78984999656677,
High,High,5.0,5,40.99931597709656,
Low,Low,3.0,3,38.0093982219696,
Medium,Low,4.0,5,30.860204696655273,
High,High,6.0,6,31.391865015029907,
Medium,Medium,3.0,3,38.18925786018371,
Medium,Medium,3.0,3,31.465965032577515,
Low,Low,0.0,1,33.92304992675781,
Medium,Medium,3.0,3,43.143073081970215,
Medium,High,8.0,4,46.2813138961792,
Low,Low,0.0,0,27.09926199913025,
High,High,7.0,6,33.563267946243286,
Low,Low,1.0,2,27.296755075454712,
Low,Low,3.0,2,48.254971981048584,
Low,Low,1.0,1,26.874539852142338,
Low,Low,2.0,1,24.581093072891235,
Low,Low,2.0,1,30.40968441963196,
Low,Medium,5.0,3,35.40251302719116,
Medium,Medium,4.0,4,33.09584093093872,
Low,Low,4.0,1,55.5231831073761,
Medium,Low,3.0,4,60.89679479598999,
Medium,High,8.0,5,71.88167095184326,
Low,Low,3.0,3,31.449411153793335,
Low,Low,2.0,2,74.62766909599304,
High,High,7.0,7,103.62767267227171,
High,High,5.0,5,31.322890043258667,
Medium,High,6.0,5,38.955092906951904,
Medium,High,5.0,3,35.38353991508484,
Medium,High,7.0,5,26.05166006088257,
High,High,7.0,6,40.91705083847046,
Low,Low,2.0,2,25.859418869018555,
High,High,13.0,13,35.92519497871399,
Low,Low,2.0,2,36.31767511367798,
Low,Low,3.0,3,33.45622181892395,
High,High,10.0,8,31.94499111175537,
Medium,High,5.0,3,28.382466793060303,
Medium,High,6.0,4,42.57165598869324,
Low,Low,3.0,3,33.68366312980652,
Low,Low,2.0,2,43.209312915802,
Low,Low,2.0,2,32.47265005111694,
High,High,7.0,6,32.23624086380005,
Medium,Medium,4.0,3,35.93654012680054,
High,High,6.0,6,26.172773838043213,
Medium,Low,3.0,4,33.62074398994446,
Low,Low,1.0,1,61.02695608139038,
Low,Low,2.0,2,30.24133610725403,
High,High,8.0,6,35.64354205131531,
High,High,5.0,4,41.08690786361694,
High,High,9.0,7,35.551963090896606,
Medium,High,6.0,3,33.86955690383911,
Medium,Medium,5.0,4,41.33962106704712,
Medium,High,8.0,7,67.95265603065491,
Low,Low,2.0,3,70.00447607040405,
High,High,4.0,4,37.78257203102112,
Medium,Medium,4.0,3,28.15781021118164,
Medium,Medium,7.0,7,29.48703098297119,
High,Medium,4.0,5,29.99964594841003,
Low,Medium,5.0,4,32.97082209587097,
Medium,High,10.0,7,36.96297907829285,
Medium,Medium,6.0,6,59.084383964538574,
Medium,Medium,4.0,4,34.300213098526,
Low,Medium,4.0,3,39.10906219482422,
Medium,High,7.0,5,29.18659496307373,
High,High,8.0,9,30.91855096817017,
Low,Low,2.0,1,24.265987157821655,
High,High,10.0,10,31.638660192489624,
Medium,High,5.0,4,32.80261492729187,
Medium,Medium,7.0,7,32.24258828163147,
Medium,Low,3.0,4,33.04535484313965,
Medium,High,5.0,4,28.156935930252075,
Low,Low,2.0,2,31.43333888053894,
Medium,Low,3.0,4,38.1311411857605,
Medium,Medium,3.0,4,32.73452591896057,
High,High,4.0,5,35.52252531051636,
Low,Low,3.0,3,39.12002396583557,
High,High,7.0,7,33.27046203613281,
Medium,High,6.0,5,26.926902055740356,
High,High,7.0,7,37.063042879104614,
Low,Low,2.0,3,28.365420818328857,
Low,Low,3.0,3,33.277060985565186,
Low,Low,2.0,2,31.227763175964355,
Medium,Medium,6.0,6,30.51149892807007,
Low,Low,3.0,3,36.45451903343201,
High,High,8.0,8,41.57009196281433,
Low,Low,1.0,1,30.40882778167725,
Low,Low,1.0,1,32.23084998130798,
High,High,4.0,4,31.601722955703735,
Low,High,5.0,2,38.35097599029541,
Low,Low,2.0,2,30.000246047973633,
Medium,Medium,6.0,6,39.21937108039856,
Low,Low,1.0,1,30.646968126296997,
High,High,6.0,5,26.382870197296143,
Low,Low,2.0,1,40.647315979003906,
High,High,4.0,4,28.954853773117065,
High,High,6.0,6,31.31650996208191,
Low,Low,1.0,1,57.97544813156128,
Low,Low,2.0,2,85.9287600517273,
High,High,8.0,5,132.61020016670227,
Low,Low,2.0,1,82.46392512321472,
Low,Medium,5.0,3,45.933692932128906,
Low,Low,0.0,0,36.85861706733704,
Medium,High,6.0,5,33.3318510055542,
High,High,7.0,7,126.3377170562744,
Low,Low,2.0,2,28.61586833000183,
Low,Medium,3.0,2,141.232647895813,
Low,Medium,4.0,2,84.24396085739136,
High,High,7.0,7,60.598281145095825,
Low,Low,2.0,2,94.10620999336244,
Medium,High,5.0,3,121.02471089363098,
Low,Low,0.0,3,28.36827182769775,
High,High,10.0,10,67.08299493789673,
Low,Low,3.0,2,43.53081512451172,
High,High,7.0,5,70.2412211894989,
Low,Medium,5.0,3,96.11504697799684,
Medium,High,6.0,4,46.32878518104553,
Low,Low,0.0,1,31.91354918479919,
High,High,9.0,7,31.690705060958862,
Medium,High,7.0,4,85.23418998718262,
Low,Low,2.0,1,28.25030493736267,
Low,Medium,4.0,1,44.96743202209473,
Medium,High,6.0,5,30.685720205307007,
High,High,9.0,7,37.71815204620361,
High,High,5.0,6,26.251302003860474,
Medium,Medium,5.0,4,34.14700388908386,
Medium,High,6.0,4,44.32179808616638,
Low,Low,2.0,2,30.411327123641968,
Low,Low,2.0,0,38.97800087928772,
Medium,Medium,4.0,4,25.430737257003784,
Low,Low,1.0,2,23.533359050750732,
Low,Low,1.0,0,30.85661292076111,
Low,Low,2.0,1,39.47792887687683,
High,High,6.0,5,39.05559802055359,
Medium,Medium,4.0,4,33.73147392272949,
Low,Low,1.0,2,28.26018500328064,
Low,Low,2.0,1,29.86625623703003,
Low,Low,0.0,0,32.058917760849,
Low,Low,1.0,1,39.94103193283081,
Medium,High,6.0,4,32.87446975708008,
High,Medium,5.0,6,28.33258080482483,
High,High,10.0,8,41.011598110198975,
High,High,8.0,6,38.7486789226532,
Medium,High,5.0,3,48.50760817527771,
Low,High,6.0,3,38.54174017906189,
Medium,Medium,3.0,3,28.881890773773193,
Low,Medium,7.0,5,36.238181829452515,
Low,Low,3.0,3,55.79727268218994,
Low,Medium,5.0,3,44.94410490989685,
Low,Medium,3.0,2,27.32450795173645,
High,Medium,4.0,6,29.28181505203247,
Medium,Medium,3.0,4,37.87921404838562,
Low,Low,2.0,2,27.008735179901123,
Medium,Medium,4.0,3,36.10862588882446,
Low,Medium,5.0,4,33.37822198867798,
High,High,5.0,5,30.24471879005432,
Medium,High,5.0,4,121.85356497764587,
Low,Low,0.0,1,68.02765798568726,
High,High,11.0,8,120.71518397331238,
Medium,Medium,3.0,3,30.597083806991577,
Low,Low,2.0,1,31.217983961105347,
Low,Low,1.0,1,27.950333833694458,
Low,Low,2.0,3,29.794930934906006,
Low,Medium,4.0,3,46.383705139160156,
Low,Low,5.0,4,37.16526699066162,
Medium,High,5.0,4,34.21816396713257,
Low,Low,3.0,3,29.569996118545532,
Medium,High,5.0,3,38.19186091423035,
High,High,10.0,8,39.41764712333679,
Medium,High,9.0,5,41.05918025970459,
High,High,13.0,11,28.463921308517456,
Low,Low,4.0,4,26.617759943008423,
Low,Medium,4.0,2,36.24688792228699,
High,High,7.0,7,37.26975202560425,
Medium,High,6.0,5,40.031965017318726,
Medium,Medium,4.0,4,31.02288579940796,
Low,Low,1.0,1,24.723134994506836,
Medium,Medium,3.0,4,26.77399492263794,
Medium,Low,1.0,4,33.0696382522583,
Low,Low,1.0,1,32.9690420627594,
Low,Low,0.0,0,29.28150987625122,
High,High,9.0,7,28.872606992721558,
High,High,6.0,5,26.106662034988403,
High,High,7.0,6,35.32209777832031,
Low,Low,0.0,0,23.035245656967163,
High,Medium,7.0,8,29.58966898918152,
Low,Low,3.0,2,28.666959762573242,
Low,Medium,3.0,2,31.73986506462097,
Low,Medium,4.0,2,30.10051417350769,
Low,Medium,5.0,3,42.696627140045166,
Low,Medium,5.0,4,31.763401985168457,
High,High,7.0,6,33.659717082977295,
Medium,High,5.0,3,35.625895738601685,
High,Medium,6.0,8,34.610690116882324,
Low,Medium,5.0,3,42.80079007148743,
High,High,8.0,7,28.05254626274109,
Medium,Medium,4.0,4,29.894157886505127,
Low,Low,1.0,1,39.88537907600403,
Low,Low,1.0,1,29.123435020446777,
Low,High,6.0,2,41.06072497367859,
Low,High,4.0,2,32.14692187309265,
Medium,Low,4.0,5,35.27702617645264,
High,High,11.0,12,35.64548468589783,
Medium,High,7.0,4,33.51592016220093,
High,Medium,3.0,6,29.27992296218872,
Low,Low,1.0,1,20.06587505340576,
Low,Medium,3.0,1,31.535083055496216,
Low,Low,2.0,1,30.819152355194092,
Low,Low,2.0,1,30.101319074630737,
Medium,Medium,3.0,3,29.79388189315796,
Medium,High,6.0,4,39.62651586532593,
Medium,High,6.0,5,29.382478952407837,
Low,Low,4.0,3,31.022741079330444,
Low,Low,2.0,1,29.076107025146484,
Low,Low,0.0,0,24.878556966781616,
Low,Medium,6.0,3,41.467503786087036,
Medium,High,6.0,4,29.894925117492676,
Medium,Medium,4.0,4,31.021862983703613,
Medium,High,5.0,3,36.687098026275635,
Low,Medium,4.0,2,31.091368913650513,
Medium,Medium,4.0,4,31.94473910331726,
Medium,High,6.0,5,27.92596983909607,
High,High,4.0,4,27.887296676635742,
High,High,7.0,7,37.04804086685181,
Low,Medium,5.0,3,36.65549302101135,
Low,Low,1.0,1,24.367064237594604,
High,High,6.0,6,34.50517702102661,
Low,Low,0.0,1,36.654958963394165,
Low,Low,2.0,2,25.493824005126953,
Medium,High,8.0,7,33.684030055999756,
Medium,High,6.0,3,32.48472785949707,
Low,Low,0.0,0,23.519656896591187,
High,High,7.0,7,33.17333197593689,
High,Medium,4.0,5,34.440208196640015,
High,Medium,4.0,5,32.93006205558777,
Low,Low,1.0,0,27.337991952896118,
Medium,Medium,5.0,5,41.219477891922,
High,High,11.0,8,25.767856121063232,
Low,Medium,5.0,3,33.25275707244873,
Low,Low,1.0,1,23.54365634918213,
Low,Medium,4.0,1,27.273250102996826,
Medium,Medium,5.0,5,28.829210996627808,
High,High,7.0,6,34.09456515312195,
High,Medium,5.0,6,29.996417999267578,
High,High,7.0,7,36.75616502761841,
Low,Low,3.0,1,33.58460593223572,
Medium,High,6.0,5,27.847395181655884,
High,High,12.0,11,33.07006287574768,
Low,Medium,5.0,3,43.069249868392944,
Low,High,7.0,3,35.15380501747131,
High,High,11.0,9,51.65990924835205,
Low,Medium,5.0,3,55.7530620098114,
Low,Low,1.0,1,44.750640869140625,
Medium,High,8.0,6,26.855689764022827,
High,High,11.0,7,35.69287705421448,
Low,Medium,7.0,5,129.82596826553345,
Low,Low,2.0,1,28.1698739528656,
High,High,7.0,8,38.22044801712036,
Medium,Medium,4.0,4,33.65363574028015,
Low,Medium,5.0,3,31.03920316696167,
Medium,Medium,5.0,5,28.657376050949097,
Low,Medium,4.0,2,44.49709105491638,
Low,Low,2.0,1,28.70289421081543,
High,High,10.0,7,29.38229203224182,
Medium,Medium,5.0,4,27.22076392173767,
High,High,11.0,11,35.89241003990173,
Low,Low,2.0,3,31.38975501060486,
Low,Low,0.0,0,22.94693088531494,
Low,Low,3.0,3,30.19542694091797,
Low,Low,1.0,1,21.71301007270813,
Medium,High,7.0,6,25.476612091064453,
Medium,Medium,4.0,3,28.153924703598022,
High,High,4.0,4,30.202332973480225,
Low,Low,1.0,2,23.137863874435425,
High,High,8.0,10,30.71531915664673,
Low,Medium,4.0,2,46.74639701843262,
High,High,7.0,7,41.66628098487854,
High,High,8.0,8,30.517152786254883,
High,High,8.0,8,31.914927005767822,
Low,Medium,5.0,3,35.785167932510376,
High,High,4.0,4,33.203065156936646,
Medium,High,7.0,5,31.52312994003296,
Low,Low,2.0,2,29.27956199645996,
Medium,Medium,5.0,5,28.972243070602417,
Low,Low,3.0,3,29.361992835998535,
Low,High,6.0,3,34.01283407211304,
Low,Low,0.0,0,27.541303157806396,
High,High,6.0,5,34.50669813156128,
High,High,11.0,9,43.20620608329773,
Low,Low,2.0,1,32.249282121658325,
Medium,High,7.0,6,29.897053003311157,
Low,Low,3.0,1,39.21213126182556,
Low,Medium,5.0,3,41.260986328125,
Medium,Medium,4.0,4,30.612671852111816,
Low,Low,3.0,2,33.77508902549744,
Low,Medium,5.0,3,35.666510820388794,
Medium,Medium,5.0,5,35.610422134399414,
Low,Low,4.0,3,31.62817668914795,
Low,Medium,5.0,3,38.11311101913452,
Low,Low,3.0,2,30.493497848510742,
Low,Low,1.0,1,28.575276136398315,
Medium,Medium,5.0,5,41.499866247177124,
Low,Low,1.0,2,43.58340096473694,
Low,Low,0.0,2,28.552541971206665,
Medium,Medium,3.0,3,29.997750997543335,
High,High,5.0,5,40.44516897201538,
Low,Low,2.0,2,31.736515998840332,
Low,Low,2.0,0,44.444239139556885,
High,High,8.0,8,31.835158109664917,
Low,Medium,7.0,5,35.528762102127075,
Low,Low,2.0,2,30.509114027023315,
High,High,6.0,6,30.76681613922119,
High,High,10.0,8,34.96732497215271,
Medium,Medium,4.0,5,36.44088101387024,
Medium,Low,3.0,4,28.115699291229248,
Low,Low,3.0,3,22.947510957717896,
Low,Low,0.0,0,36.87994885444641,
High,High,8.0,8,29.5702908039093,
Low,Low,1.0,1,32.274072885513306,
Low,Low,2.0,1,27.770079851150513,
Medium,Medium,7.0,7,31.303895711898804,
Low,Low,1.0,1,24.669583082199097,
Low,Low,3.0,2,31.020185947418213,
Low,Low,2.0,2,35.97905373573303,
Low,Low,2.0,1,31.49384307861328,
Medium,Medium,4.0,4,28.222542762756348,
Low,Low,2.0,3,119.6058509349823,
Low,Low,0.0,0,22.902486085891724,
Medium,Medium,3.0,3,32.97710990905762,
High,High,8.0,6,32.81211018562317,
Medium,High,5.0,4,39.92346501350403,
Low,High,7.0,3,127.4850561618805,
High,High,6.0,6,43.57427668571472,
Low,Low,1.0,1,26.970959901809692,
Medium,Medium,6.0,5,70.34222388267517,
Low,Low,2.0,1,23.751772165298462,
Low,Medium,4.0,2,33.47837781906128,
Medium,High,6.0,5,87.53566718101501,
Low,Low,0.0,0,36.871371030807495,
Medium,High,9.0,4,29.79565715789795,
High,Medium,5.0,6,26.00601601600647,
Medium,Low,5.0,6,31.56805396080017,
High,High,6.0,6,28.62895393371582,
High,High,6.0,5,25.696670293807983,
Low,Low,3.0,3,90.82443881034851,
Low,Low,0.0,0,28.152166843414307,
High,High,7.0,7,30.920156955718994,
High,High,15.0,10,33.94467520713806,
High,High,6.0,6,38.7495858669281,
Low,Low,1.0,1,23.855436086654663,
Medium,Medium,5.0,4,31.430028915405273,
Low,Low,2.0,2,25.18590807914734,
Low,Low,1.0,0,122.00128984451294,
Medium,High,6.0,4,122.43758606910706,
High,High,6.0,6,28.0330331325531,
Low,Low,2.0,0,31.690340995788574,
Low,Low,2.0,2,29.530396223068237,
Low,Low,2.0,2,39.419052600860596,
Low,Low,2.0,3,27.639480113983154,
Medium,Medium,5.0,4,94.8220386505127,
Low,,,0,19.03364133834839,no tool call
Low,Medium,4.0,2,30.540364980697632,
Low,Low,1.0,0,34.070865869522095,
High,High,6.0,6,29.792481899261475,
High,High,12.0,9,27.287792921066284,
Low,Low,2.0,2,26.563416242599487,
Low,Medium,6.0,3,43.747880935668945,
High,High,8.0,8,32.8009307384491,
Medium,Medium,3.0,3,25.492002964019775,
Medium,Medium,3.0,3,28.305168867111206,
Low,Low,1.0,1,23.328818798065186,
Medium,Medium,3.0,3,33.68334627151489,
Low,Low,1.0,1,25.595454931259155,
Medium,Medium,5.0,3,37.67937874794006,
Medium,Medium,3.0,3,24.261977195739746,
High,High,5.0,5,28.76803207397461,
Medium,Medium,3.0,3,27.334809064865112,
Low,Low,2.0,2,23.95576238632202,
Low,Medium,4.0,2,44.062495946884155,
Low,Low,2.0,2,26.090646028518677,
Low,Low,3.0,2,29.36357021331787,
Low,Low,2.0,2,27.50440502166748,
Medium,High,8.0,6,27.122084856033325,
High,High,5.0,6,28.299468755722046,
Low,Medium,4.0,1,25.514079093933105,
High,High,6.0,7,25.059311866760254,
Low,Low,2.0,0,32.45346689224243,
Low,Medium,4.0,1,30.384413242340088,
High,High,6.0,6,35.34545302391052,
High,High,12.0,11,33.376858949661255,
Medium,Medium,4.0,3,25.82192826271057,
Low,Low,1.0,1,24.443503856658936,
High,High,8.0,7,41.77113389968872,
Medium,High,6.0,4,45.17686414718628,
Low,Medium,5.0,3,37.14228892326355,
Medium,High,5.0,4,30.32145094871521,
Low,Medium,4.0,3,37.762996196746826,
Low,Low,1.0,0,24.262651205062866,
High,Medium,5.0,6,39.62651205062866,
Medium,Medium,4.0,4,36.585362911224365,
High,High,8.0,6,24.12411379814148,
Low,Medium,3.0,1,33.47941708564758,
Low,Medium,6.0,3,28.770067930221558,
Medium,High,6.0,4,41.888890981674194,
Low,High,6.0,3,52.64508295059204,
Low,Low,1.0,1,28.865785837173462,
Medium,High,8.0,4,36.53012204170227,
High,High,7.0,6,33.292630672454834,
Low,Low,0.0,0,24.344011783599854,
Low,Low,2.0,3,33.58184003829956,
High,High,10.0,8,35.01547718048096,
High,High,8.0,9,54.44255089759827,
High,High,5.0,5,36.88713312149048,
Low,Low,3.0,3,28.466951370239258,
Low,Medium,5.0,3,42.692259073257446,
High,Low,2.0,4,30.61349129676819,
Low,Low,3.0,1,33.35711097717285,
Medium,Medium,4.0,4,40.39774990081787,
High,High,11.0,10,31.393371105194092,
Medium,Medium,4.0,3,31.224042892456055,
Medium,Medium,5.0,6,35.937840938568115,
Low,Low,2.0,2,28.891156911849976,
Medium,Medium,3.0,3,35.61021590232849,
High,High,13.0,10,56.518003940582275,
High,High,8.0,11,40.03178596496582,
Low,Low,5.0,5,28.063891887664795,
High,High,7.0,7,37.00673508644104,
High,High,4.0,4,33.32455921173096,
Medium,High,8.0,5,52.01342296600342,
Medium,Low,4.0,5,33.786643981933594,
Low,Medium,3.0,1,40.03308916091919,
Low,Low,1.0,1,37.74035906791687,
Low,Low,3.0,3,29.320431232452393,
Medium,High,5.0,4,40.749605894088745,
Low,Low,0.0,0,29.996258974075317,
High,High,8.0,7,42.90060901641846,
Low,Low,2.0,2,41.4678680896759,
Low,Medium,3.0,2,30.507261991500854,
Medium,Medium,5.0,5,48.632481813430786,
Low,Low,3.0,2,36.68564987182617,
Medium,Medium,7.0,6,39.90008592605591,
Medium,Medium,3.0,3,33.31756615638733,
Low,Low,2.0,2,41.82855224609375,
Medium,Medium,4.0,3,46.43296837806702,
Low,Medium,5.0,3,41.41696834564209,
Medium,Medium,3.0,3,36.02502489089966,
Low,Low,2.0,2,30.42165994644165,
Medium,High,5.0,4,29.791851043701172,
Low,Low,2.0,2,29.790421724319458,
Low,High,7.0,4,34.71067976951599,
Low,Low,3.0,3,50.99129915237427,
High,High,7.0,6,38.18787598609924,
Medium,High,6.0,5,33.79372787475586,
High,High,8.0,7,46.990604877471924,
Medium,Medium,4.0,4,45.047359228134155,
Low,Medium,6.0,5,42.69783878326416,
Medium,High,8.0,4,39.21099019050598,
Low,High,4.0,1,44.78109693527222,
High,High,10.0,8,38.97430181503296,
Low,Low,2.0,3,31.018430948257446,
High,High,9.0,8,39.731279134750366,
Low,Medium,5.0,3,39.72244381904602,
Low,Low,2.0,2,33.080617904663086,
Medium,High,5.0,4,34.365559101104736,
High,High,4.0,5,35.65583109855652,
Low,Low,1.0,1,42.829472064971924,
High,High,7.0,6,42.04807496070862,
High,High,9.0,10,37.985153913497925,
High,Medium,4.0,6,41.569873094558716,
Medium,Medium,5.0,6,30.609668016433716,
Medium,High,8.0,6,41.529845237731934,
Low,Medium,4.0,3,57.25423717498779,
Low,Low,3.0,3,38.71901488304138,
Low,Medium,5.0,3,36.964548110961914,
Low,Medium,6.0,4,37.946295976638794,
Low,Low,2.0,2,45.70150303840637,
High,High,11.0,11,33.81413507461548,
Medium,Low,2.0,3,29.353902101516724,
Medium,Medium,3.0,3,28.87089514732361,
Low,Low,4.0,4,26.44781804084778,
Medium,Low,5.0,6,34.010334968566895,
Medium,High,6.0,5,34.347573041915894,
Low,Low,0.0,2,30.002678155899048,
Low,Low,3.0,1,42.58770203590393,
Medium,Medium,4.0,3,34.15350890159607,
Medium,High,5.0,4,26.454941987991333,
Low,Medium,5.0,2,38.5733003616333,
Medium,High,5.0,3,30.125380277633667,
Medium,High,7.0,6,31.019782781600952,
Medium,Medium,6.0,6,38.49643015861511,
Low,Medium,6.0,4,29.382169008255005,
Medium,Medium,3.0,3,35.52716398239136,
Low,Low,3.0,2,56.212323904037476,
Medium,Medium,4.0,4,34.096457958221436,
Medium,Medium,4.0,4,28.70531916618347,
Low,Low,2.0,3,35.044273853302,
Low,Low,3.0,2,29.10268998146057,
High,High,8.0,6,40.13276791572571,
Medium,Medium,4.0,3,31.328068017959595,
High,High,7.0,6,37.47367811203003,
High,High,11.0,11,27.641644954681396,
Medium,Low,4.0,4,46.998207807540894,
Low,Low,2.0,2,26.50102686882019,
Low,Low,5.0,5,36.768730878829956,
High,High,8.0,8,37.26526999473572,
Medium,Medium,5.0,5,33.580618143081665,
Medium,Medium,6.0,5,33.788108110427856,
Low,Low,3.0,3,32.86346793174744,
Low,Medium,5.0,4,44.74303483963013,
High,High,12.0,8,34.827983140945435,
Low,Low,0.0,0,23.835566997528076,
High,High,13.0,8,25.59485387802124,
Medium,Low,2.0,4,31.942075967788696,
High,High,10.0,8,32.765636920928955,
Low,Medium,5.0,3,33.27323532104492,
High,High,6.0,6,26.00208806991577,
Low,Low,2.0,2,27.781183004379272,
High,High,8.0,7,34.17706227302551,
Low,Medium,4.0,3,35.64474892616272,
Low,Low,2.0,2,27.81232476234436,
High,High,10.0,8,27.951930046081543,
Medium,High,10.0,7,29.176790237426758,
Low,Low,0.0,0,28.308133125305176,
High,High,11.0,11,27.58990716934204,
Low,Low,4.0,4,22.826095819473267,
High,High,4.0,4,33.37772798538208,
High,High,11.0,10,29.897087335586548,
Medium,Medium,3.0,3,27.435173988342285,
High,High,10.0,7,31.593708753585815,
High,High,9.0,7,29.218958854675293,
Low,Low,2.0,2,30.49753189086914,
Low,Low,2.0,2,38.52370023727417,
High,High,8.0,7,32.44356727600098,
High,High,8.0,10,38.44398498535156,
High,High,8.0,8,40.08420991897583,
High,High,7.0,7,49.45825982093811,
High,High,8.0,5,30.406763076782227,
Medium,Low,2.0,3,31.738603830337524,
Low,Low,2.0,2,28.390825986862183,
Low,Low,3.0,4,38.36503481864929,
