true_severity,pred_severity,agent_total_skill_count,reference_total_skill_count,latency_s,error
Medium,Medium,3,4,11.567276000976562,
Low,Low,2,2,3.8857030868530273,
Medium,Medium,3,3,7.368634939193726,
Low,Low,4,4,7.98116397857666,
High,High,5,5,3.5840041637420654,
Medium,Medium,4,4,6.57899284362793,
Low,Low,1,1,4.263422012329102,
High,High,8,8,7.164212942123413,
Medium,Low,2,3,8.392401933670044,
Low,Low,1,1,5.924344062805176,
Low,Low,1,1,3.7950360774993896,
Low,Low,3,3,5.831754922866821,
Low,Low,2,3,8.800014019012451,
Low,Low,4,4,4.602293252944946,
Medium,Medium,4,4,5.21796178817749,
Low,Low,3,3,4.688193082809448,
Medium,Medium,3,3,4.270940780639648,
High,Medium,6,8,11.095455884933472,
Medium,Medium,5,5,6.472205877304077,
High,High,11,11,6.8304407596588135,
Low,Low,4,4,4.1265599727630615,
Low,Low,2,2,5.5385658740997314,
High,High,7,7,9.570183038711548,
Medium,Medium,5,5,11.412996053695679,
Medium,Medium,4,4,7.683756113052368,
Low,Low,1,1,3.77972412109375,
Medium,Medium,4,4,5.27995491027832,
Medium,Medium,3,4,10.12450385093689,
Low,Low,1,1,3.4696850776672363,
Low,Low,0,0,3.067093849182129,
High,Low,2,7,10.43897294998169,
High,High,5,5,5.257874965667725,
High,Medium,5,6,12.241905927658081,
Low,Low,0,0,3.2649121284484863,
High,Medium,6,8,9.526316165924072,
Low,Low,2,2,7.7425291538238525,
Low,Low,2,2,3.242516040802002,
Low,Low,2,2,4.565179109573364,
Low,Low,3,3,4.602635860443115,
Low,Low,4,4,8.292373895645142,
High,Medium,5,6,9.720233917236328,
Medium,Medium,3,3,4.881799936294556,
High,Medium,5,8,9.342829942703247,
Low,Low,3,3,5.114116907119751,
High,Low,2,7,10.440025091171265,
Medium,Medium,4,4,9.005892992019653,
Low,Low,1,1,5.7026450634002686,
Low,Low,1,1,4.937527656555176,
Low,Low,2,2,6.034518003463745,
Low,Low,2,2,11.772547721862793,
Medium,Medium,5,5,9.070174932479858,
High,Medium,7,12,11.829288005828857,
Medium,Medium,4,4,9.61426591873169,
High,High,5,6,9.401772737503052,
Low,Low,1,1,3.9885458946228027,
Low,Low,1,1,3.487006902694702,
Low,Low,1,1,5.001759052276611,
Low,Low,1,1,6.668765306472778,
Medium,Medium,3,3,4.402103662490845,
Medium,Medium,4,4,12.056680917739868,
Medium,Medium,5,5,10.54300308227539,
Low,Low,3,3,4.503023147583008,
Low,Low,1,1,4.530545949935913,
Low,Low,0,0,6.006558179855347,
Low,Low,3,3,4.57582426071167,
Medium,Low,3,4,8.930155992507935,
Medium,Low,3,4,9.1075599193573,
Medium,Medium,3,3,4.50118613243103,
Low,Low,2,2,4.091036319732666,
Medium,Medium,4,4,6.854985952377319,
Medium,Medium,4,5,8.602365016937256,
High,High,4,4,8.285153150558472,
High,High,6,7,9.783421039581299,
Low,Low,3,3,9.049324989318848,
Low,Low,1,1,4.295960903167725,
High,High,6,6,6.446730136871338,
Low,Low,1,1,4.294399976730347,
Low,Low,2,2,5.956466913223267,
Medium,Medium,7,7,5.09355902671814,
Medium,Medium,3,3,6.860067129135132,
Low,Low,0,0,3.6769320964813232,
High,High,6,7,9.005078077316284,
High,Medium,4,5,11.362210988998413,
High,High,5,5,9.620774269104004,
Low,Low,0,0,4.746370077133179,
Medium,Low,2,5,11.911478996276855,
High,High,8,8,4.521576881408691,
Low,Low,3,3,4.294195890426636,
Low,Low,1,1,3.8869638442993164,
Low,Low,1,1,8.294977188110352,
Medium,Medium,5,5,9.307407855987549,
High,High,6,6,11.772528886795044,
High,Medium,5,6,11.870651006698608,
High,High,7,7,10.182132959365845,
Low,Low,0,1,11.520097970962524,
Medium,Medium,5,5,7.043866872787476,
High,High,8,11,14.21729326248169,
Low,Low,3,3,5.040637969970703,
Low,Low,0,3,7.879928112030029,
High,Low,5,9,13.51385498046875,
Low,Low,3,3,7.671849012374878,
Low,Low,1,1,4.2958009243011475,
Medium,Medium,6,6,7.164547920227051,
High,High,7,7,7.05988883972168,
Low,Low,2,5,10.029391050338745,
Low,Low,1,1,7.778804779052734,
High,High,7,8,9.032757997512817,
Medium,Medium,4,4,6.8138768672943115,
Low,Low,3,3,5.127259016036987,
Medium,Medium,5,5,5.659019947052002,
Low,Low,2,2,6.004793167114258,
Low,Low,1,1,7.161689758300781,
High,High,7,7,11.666972160339355,
Medium,Low,3,4,10.25199007987976,
High,High,8,11,9.036999940872192,
Low,Low,0,3,10.393449783325195,
Low,Low,0,0,4.399068832397461,
Low,Low,3,3,4.8075010776519775,
Low,Low,1,1,3.2696831226348877,
Medium,Medium,6,6,3.9882447719573975,
Medium,Medium,3,3,10.912020444869995,
High,High,4,4,6.488642930984497,
Low,Low,2,2,4.60131573677063,
High,Medium,3,10,22.419624090194702,
Low,Low,1,2,10.033446073532104,
High,High,7,7,6.870147943496704,
High,High,8,8,10.127058982849121,
High,High,7,8,9.970386981964111,
Low,Low,3,3,4.652601718902588,
High,High,4,4,7.266077995300293,
Medium,Medium,5,5,6.651559114456177,
Low,Low,1,2,8.473570108413696,
Medium,Medium,5,5,34.93620204925537,
Low,Low,3,3,8.390180826187134,
Low,Low,3,3,9.108999967575073,
Low,Low,0,0,3.783967971801758,
High,High,5,5,7.060086011886597,
High,Low,4,9,14.534881114959717,
Low,Low,1,1,4.149478912353516,
Medium,Medium,6,6,5.157773017883301,
Low,Low,1,1,3.8227200508117676,
Low,Low,3,3,4.769505023956299,
Medium,Low,3,4,13.75904107093811,
Low,Low,2,2,5.789797782897949,
Low,Low,3,3,4.907931804656982,
Medium,Medium,5,5,9.827654123306274,
Low,Low,3,3,5.086115121841431,
Low,Low,3,3,5.242217063903809,
Low,Low,2,2,7.059992074966431,
Low,Low,1,1,4.39846396446228,
Medium,Medium,5,5,9.446357011795044,
Low,Low,2,2,9.176702976226807,
Low,Low,2,2,6.03699517250061,
Medium,Low,1,3,11.356764078140259,
High,Medium,3,5,11.363553047180176,
Low,Low,2,2,4.295549154281616,
Low,Low,0,0,4.620840072631836,
High,Medium,4,8,9.653460025787354,
Low,Low,5,5,6.087635040283203,
Low,Low,2,2,3.78347110748291,
High,High,6,6,11.361496686935425,
High,High,8,8,5.114983081817627,
Medium,Medium,5,5,7.77475905418396,
Medium,Medium,4,4,10.336754083633423,
Low,Low,3,3,3.6813271045684814,
Low,Low,0,0,5.2025837898254395,
High,High,8,8,11.47839617729187,
Low,Low,1,1,5.361130952835083,
Low,Low,1,1,9.477713823318481,
Medium,Medium,7,7,10.642704963684082,
Low,Low,1,1,3.682542085647583,
Low,Low,2,2,6.586080074310303,
Low,Low,2,2,4.665405988693237,
Low,Low,1,1,5.650119781494141,
Medium,Medium,4,4,7.651281833648682,
Low,Low,3,3,6.787053823471069,
Low,Low,0,0,4.974788665771484,
Medium,Medium,3,3,5.533452987670898,
High,Medium,5,6,9.660179853439331,
Medium,Medium,4,4,5.4734368324279785,
Low,Low,3,3,5.319218873977661,
High,High,6,6,10.234296083450317,
Low,Low,1,1,5.59951114654541,
Medium,Medium,5,5,7.984276056289673,
Low,Low,1,1,3.5039749145507812,
Low,Low,1,2,9.823410987854004,
Medium,Medium,5,5,5.731528282165527,
Low,Low,0,0,5.4340620040893555,
Medium,Medium,4,4,6.738541841506958,
High,High,6,6,7.2103729248046875,
Medium,Low,5,6,10.700074911117554,
High,High,6,6,11.156595945358276,
High,High,5,5,4.294864177703857,
Low,Low,3,3,3.475675106048584,
Low,Low,0,0,4.0911338329315186,
High,Medium,4,7,9.517470121383667,
High,High,7,10,14.43141484260559,
High,High,6,6,10.541127920150757,
Low,Low,1,1,3.957624673843384,
Medium,Medium,4,4,10.775838136672974,
Low,Low,2,2,7.572666168212891,
Low,Low,0,0,3.5781469345092773,
Medium,Medium,4,4,6.65073823928833,
High,High,6,6,7.879270792007446,
Low,Low,0,0,5.423807859420776,
Low,Low,2,2,8.79928183555603,
Low,Low,2,2,3.989252805709839,
Low,Low,3,3,4.601197004318237,
Medium,Medium,4,4,38.479353189468384,
Low,Low,0,0,5.133080720901489,
Low,Low,2,2,5.421473979949951,
Low,Low,0,0,7.469892263412476,
High,High,4,6,7.9809410572052,
High,High,9,9,7.881802082061768,
Low,Low,2,2,9.003560066223145,
Low,Low,3,3,4.913527011871338,
High,High,7,8,10.435363054275513,
Medium,Medium,3,3,8.28797698020935,
Medium,Medium,3,3,6.446832180023193,
Low,Low,1,1,6.240303993225098,
Medium,Medium,3,3,6.958669185638428,
Low,Low,1,1,5.522363185882568,
Medium,Medium,3,3,6.034092903137207,
Medium,Medium,3,3,5.935740232467651,
High,High,4,5,9.415426969528198,
Medium,Medium,3,3,9.844696760177612,
Low,Low,2,2,3.3532187938690186,
Low,Low,0,2,13.20267105102539,
Low,Low,2,2,4.706777095794678,
Low,Low,2,2,4.294967889785767,
Low,Low,2,2,6.668163299560547,
Medium,Low,5,6,9.19361424446106,
High,Medium,4,6,10.747058391571045,
Low,Low,1,1,3.8853330612182617,
High,High,7,7,6.343323707580566,
Low,Low,0,0,3.7838778495788574,
Low,Low,1,1,5.31645393371582,
High,High,6,6,7.839814901351929,
High,High,10,11,7.510439872741699,
Medium,Medium,3,3,4.411736965179443,
Low,Low,1,1,3.8657681941986084,
High,High,7,7,9.177057981491089,
Medium,Medium,4,4,6.578243970870972,
Low,Low,3,3,5.420677900314331,
Medium,Medium,4,4,10.336802959442139,
Low,Low,3,3,7.980979919433594,
Low,Low,0,0,5.23932409286499,
High,Medium,5,6,14.922270059585571,
Medium,Medium,4,4,6.138584136962891,
High,Low,2,6,13.74278998374939,
Low,Low,1,1,7.237799167633057,
Low,Low,3,3,6.342405796051025,
Medium,Low,2,4,12.134340047836304,
Low,Low,3,3,4.237620115280151,
Low,Low,1,1,3.4545071125030518,
Medium,Low,2,4,11.764834880828857,
High,Medium,5,6,10.905848026275635,
Low,Low,0,0,3.70232892036438,
Low,Low,3,3,6.191101789474487,
High,High,8,8,6.446461915969849,
High,High,6,9,10.065330982208252,
High,High,5,5,5.128911972045898,
Low,Low,3,3,4.53657603263855,
Low,Low,3,3,4.633291006088257,
High,Low,1,4,11.872782230377197,
Low,Low,1,1,5.61040997505188,
Medium,Medium,3,4,6.64995813369751,
High,Low,2,10,12.733244895935059,
Medium,Medium,3,3,6.922811985015869,
Medium,Medium,6,6,9.51114296913147,
Low,Low,2,2,3.885215997695923,
Medium,Medium,3,3,6.47602105140686,
High,Low,3,10,12.021158218383789,
High,High,7,11,9.13164496421814,
Low,Low,5,5,4.164273262023926,
High,High,7,7,4.39351487159729,
High,High,4,4,6.01108980178833,
Medium,Medium,5,5,4.557380676269531,
Medium,Low,3,5,9.619666814804077,
Low,Low,1,1,4.2726030349731445,
Low,Low,1,1,4.572988986968994,
Low,Low,3,3,5.169210910797119,
Medium,Medium,4,4,6.4452619552612305,
Low,Low,0,0,6.651101350784302,
High,Medium,4,7,11.076377868652344,
Low,Low,2,2,3.4512219429016113,
Low,Low,2,2,5.11493706703186,
Medium,Medium,5,5,10.486111164093018,
Low,Low,2,2,8.650700092315674,
Medium,Medium,6,6,4.649058103561401,
Medium,Medium,3,3,6.498747110366821,
Low,Low,2,2,8.37791395187378,
Medium,Medium,3,3,12.398974895477295,
Low,Low,3,3,5.569298982620239,
Medium,Medium,3,3,5.670147180557251,
Low,Low,2,2,4.515374183654785,
Medium,Medium,4,4,5.011332035064697,
Low,Low,2,2,5.679982900619507,
Low,Low,4,4,4.810611963272095,
Low,Low,3,3,5.01236891746521,
High,High,6,6,8.2286856174469,
Medium,Medium,5,5,11.272608995437622,
High,High,5,7,9.167926788330078,
Medium,Low,1,4,11.737629175186157,
Low,Low,5,5,6.954210996627808,
Medium,Low,2,4,9.402087211608887,
Low,Low,1,1,5.095764875411987,
High,High,8,8,5.779091835021973,
Low,Low,3,3,10.47567892074585,
High,High,8,8,7.292742013931274,
Low,Low,3,3,5.3044421672821045,
Low,Low,2,2,4.382297039031982,
Medium,Medium,4,4,6.757014989852905,
High,Low,2,5,19.790377855300903,
Low,Low,1,1,6.116264820098877,
High,High,6,6,8.596229791641235,
High,High,6,10,13.445889949798584,
High,Low,3,6,10.09456205368042,
Medium,Medium,5,6,8.497677087783813,
Medium,Low,4,6,13.097727298736572,
Low,Low,1,3,11.862596988677979,
Low,Low,2,3,9.2202730178833,
Low,Low,3,3,6.148874044418335,
Low,Low,0,4,13.787117958068848,
Low,Low,2,2,11.325636148452759,
High,Low,5,11,10.08276629447937,
Medium,Medium,3,3,9.004327058792114,
Medium,Medium,3,3,5.932592868804932,
Low,Low,4,4,4.398719072341919,
Medium,Medium,6,6,5.096224069595337,
Medium,Medium,5,5,10.76294493675232,
Low,Low,2,2,7.469372034072876,
Low,Low,1,1,9.278396129608154,
Medium,Medium,3,3,5.312716007232666,
Medium,Medium,4,4,9.6625657081604,
Low,Low,2,2,5.000734090805054,
Medium,Medium,3,3,4.767640113830566,
Medium,Medium,6,6,7.10851788520813,
Medium,Medium,6,6,7.935807943344116,
Low,Low,4,4,4.340507984161377,
Medium,Low,2,3,7.543848276138306,
Low,Low,2,2,6.184237003326416,
Medium,Medium,4,4,7.451097011566162,
Medium,Low,3,4,12.473665952682495,
Low,Low,3,3,2.848923921585083,
Low,Low,2,2,4.333954811096191,
High,High,6,6,4.897182941436768,
Medium,Medium,3,3,4.257311105728149,
High,High,6,6,7.199635982513428,
High,High,11,11,6.8239359855651855,
Medium,Low,1,4,12.314762115478516,
Low,Low,2,2,6.853438138961792,
Low,Low,5,5,9.8292818069458,
High,Low,2,8,13.614214897155762,
Medium,Medium,5,5,4.192112922668457,
Medium,Medium,5,5,10.336395025253296,
Low,Low,2,3,8.698521137237549,
Low,Low,4,4,5.317745923995972,
High,Low,3,8,11.258886098861694,
Low,Low,0,0,3.3379392623901367,
High,High,8,8,7.46342921257019,
Medium,Low,1,4,11.464839935302734,
High,High,8,8,8.12313199043274,
Low,Low,3,3,4.601869106292725,
High,High,6,6,8.492484092712402,
Low,Low,2,2,5.629271984100342,
High,High,7,7,6.195621013641357,
Low,Low,3,3,5.068596124649048,
Low,Low,2,2,4.111535310745239,
High,High,8,8,5.490666151046753,
Medium,Medium,6,7,11.168853044509888,
Low,Low,0,0,4.482087135314941,
High,High,11,11,5.453900098800659,
Low,Low,4,4,4.473914861679077,
High,High,4,4,5.723344087600708,
High,High,10,10,6.104125022888184,
Medium,Low,2,3,8.630411863327026,
High,High,5,7,8.408395051956177,
High,High,7,7,8.576365947723389,
Low,Low,2,2,7.6746509075164795,
Low,Low,2,2,4.499395132064819,
High,High,7,7,8.49233102798462,
High,High,6,10,12.589113712310791,
High,Low,5,8,13.100845098495483,
High,High,7,7,11.258755207061768,
High,High,5,5,6.339870929718018,
Medium,Medium,3,3,9.824543952941895,
Low,Low,2,2,7.878610134124756,
Low,Low,4,4,5.995215177536011,
High,Low,3,6,12.901568174362183,
Low,Low,2,2,4.346261024475098,
Low,Low,1,1,4.5876569747924805,
Medium,Medium,3,3,3.0694470405578613,
High,Medium,5,6,9.415698051452637,
Low,Low,1,1,4.250842094421387,
Medium,Medium,4,4,4.858443021774292,
Medium,Medium,4,5,11.877987146377563,
Low,Low,3,3,7.662283897399902,
High,High,12,12,6.709891080856323,
Low,Low,2,2,4.835669040679932,
